Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
Bug,Entregue,PedeQueVem!,21/10/2023,-21:21:00,-05:21:00
Bug,Entregue,Pro Labore,20/10/2023,-23:24:00,-07:24:00
Bug,Entregue,SST BOT,19/10/2023,07:56,09:19
Bug,Entregue,PedeQueVem!,18/10/2023,-38:39:00,-22:39:00
New Feature,Entregue,PedeQueVem!,18/10/2023,04:04,-96:53:00
HelpDesk Support,Resolvido,Sintesc,18/10/2023,-03:53:00,12:06
Bug,Entregue,PedeQueVem!,18/10/2023,-21:23:00,-05:24:00
HelpDesk Support,Resolvido,PedeQueVem!,18/10/2023,-00:47:00,-608:33:00
HelpDesk Support,Resolvido,Sintesc,17/10/2023,-05:52:00,10:07
Bug,Entregue,Sintesc,17/10/2023,07:08,23:08
Bug,Entregue,Pro Labore,17/10/2023,-08:39:00,07:20
New Feature,Entregue,PedeQueVem!,17/10/2023,-47:02:00,-204:57:00
Bug,Entregue,Pro Labore,17/10/2023,-09:05:00,06:54
Bug,Entregue,PedeQueVem!,17/10/2023,-47:20:00,-31:20:00
Bug,Entregue,PedeQueVem!,17/10/2023,-70:24:00,-54:24:00
New Feature,Entregue,PedeQueVem!,14/10/2023,-272:00:00,-256:00:00
Bug,Entregue,PedeQueVem!,14/10/2023,-37:29:00,-21:29:00
Bug,Entregue,PedeQueVem!,14/10/2023,-61:24:00,-45:24:00
New Feature,Entregue,PedeQueVem!,14/10/2023,04:02,-120:35:00
Bug,Entregue,PedeQueVem!,14/10/2023,-61:24:00,-45:24:00
HelpDesk Support,Resolvido,Pro Labore,13/10/2023,06:17,22:17
Bug,Entregue,PedeQueVem!,13/10/2023,-39:22:00,-23:22:00
Bug,Entregue,PedeQueVem!,13/10/2023,-39:28:00,-23:28:00
Bug,Entregue,PedeQueVem!,13/10/2023,-39:48:00,-23:48:00
Bug,Entregue,PedeQueVem!,13/10/2023,-40:02:00,-24:02:00
New Feature,Entregue,PedeQueVem!,13/10/2023,-19:06:00,-258:40:00
Bug,Entregue,Sintesc,13/10/2023,-13:50:00,02:09
Bug,Entregue,Sintesc,11/10/2023,-13:28:00,02:31
HelpDesk Support,Resolvido,Bulbe,11/10/2023,-22:35:00,-06:35:00
Bug,Entregue,Sintesc,10/10/2023,-01:42:00,14:17
New Feature,Entregue,Bulbe,10/10/2023,07:34,-166:25:00
HelpDesk Support,Resolvido,Pro Labore,09/10/2023,05:54,21:54
HelpDesk Support,Resolvido,Bulbe,06/10/2023,-02:35:00,13:24
Bug,Entregue,Sintesc,04/10/2023,-00:36:00,15:23
Bug,Entregue,Bulbe,04/10/2023,00:35,16:35
HelpDesk Support,Resolvido,Bulbe,04/10/2023,-01:47:00,14:12
Bug,Entregue,Bulbe,04/10/2023,-23:13:00,-14:30:00
HelpDesk Support,Resolvido,Bulbe,03/10/2023,06:15,22:15
HelpDesk Support,Resolvido,Bulbe,28/09/2023,06:30,22:30
New Feature,Entregue,Pro Labore,26/09/2023,-64:46:00,-48:46:00
Bug,Entregue,Bulbe,26/09/2023,-36:26:00,-20:26:00
New Feature,Entregue,Pro Labore,25/09/2023,-128:27:00,-112:27:00
New Feature,Entregue,Sintesc,25/09/2023,-977:59:00,
HelpDesk Support,Resolvido,Bulbe,25/09/2023,-00:11:00,15:48
Bug,Entregue,Sintesc,22/09/2023,-08:52:00,07:07
HelpDesk Support,Resolvido,Bulbe,22/09/2023,06:34,22:34
Bug,Entregue,Bulbe,21/09/2023,03:58,19:58
New Feature,Entregue,Bulbe,21/09/2023,-70:09:00,-54:09:00
Bug,Entregue,Pro Labore,21/09/2023,04:09,20:09
HelpDesk Support,Resolvido,Bulbe,20/09/2023,02:41,18:41
HelpDesk Support,Resolvido,Pro Labore,19/09/2023,05:24,21:24
HelpDesk Support,Resolvido,Bulbe,18/09/2023,07:13,23:13
Bug,Entregue,Pro Labore,15/09/2023,-15:20:00,00:39
Bug,Entregue,Sintesc,14/09/2023,-05:22:00,10:37
